pic_name,Product_name,Brand_name,price,Discount,Discount_price,description,color1,color2,color3,color4,size1,size2,size3,size4,size5,size6,size7
Accessoires_Sieraden_Oorbellen_1,Oorbellen Michelle,R&R jewellery,7.95,,,Duurzaam gefabriceerd in Nederland.,Goudkleurig,,,,,,,,,,
Accessoires_Sieraden_Oorbellen_2,Oorbellen Ruby,R&R jewellery,4.95,,,Duurzaam gefabriceerd in Nederland.,,,,,,,,,,,
Accessoires_Sieraden_Oorbellen_3,Oorbellen Angie,R&R jewellery,5.95,,,Duurzaam gefabriceerd in Nederland.,,,,,,,,,,,
Accessoires_Sieraden_Oorbellen_4,Oorbellen Jane,R&R jewellery,5.95,,,Duurzaam gefabriceerd in Nederland.,,,,,,,,,,,
Accessoires_Sieraden_Oorbellen_5,Oorbellen Eleanor,R&R jewellery,4.95,,,Duurzaam gefabriceerd in Nederland.,,,,,,,,,,,
Accessoires_Sieraden_Oorbellen_6,Oorbellen Martha,R&R jewellery,5.95,,,Duurzaam gefabriceerd in Nederland.,,,,,,,,,,,
Accessoires_Sieraden_Oorbellen_7,Oorbellen Julia,R&R jewellery,7.95,,,Duurzaam gefabriceerd in Nederland.,,,,,,,,,,,
Accessoires_Sieraden_Oorbellen_8,Oorbellen Rita,R&R jewellery,7.95,,,Duurzaam gefabriceerd in Nederland.,,,,,,,,,,,
Accessoires_Sieraden_Oorbellen_9,Oorbellen Madonna,R&R jewellery,7.95,,,Duurzaam gefabriceerd in Nederland.,Blauw,,,,,,,,,,
Accessoires_Sieraden_Oorbellen_10,Oorbellen Lucy,R&R jewellery,7.95,,,Duurzaam gefabriceerd in Nederland.,Goudkleurig,,,,,,,,,,
Accessoires_Tassen_Handtassen_1,Handtas Lizzie,BeatBags,54.95,10%,49.46,Het leer dat in deze tassen wordt gebruikt wordt zonder gebruik van zware metalen gelooid in Brazilië. De tassen worden in elkaar gezet in ons atelier in Spanje.,Groen,Bruin,,,,,,,,,
